name,address,number,lat,long
도봉구재활용센터,서울특별시 도봉구 마들로13길 218,02-902-8272,37.659920,127.045390
중랑구재활용센터,서울특별시 중랑구 면목로 377,02-435-7272,37.5856701,127.0881513
성동구 재활용센터,서울특별시 성동구 천호대로 78길 58,02-2204-7997,37.5569162491,127.0549690377
재활용센터1관,서을특별시 노원구 화랑로 486,02-974-7282,37.6191271,127.0789944
재활용센터2관,서을특별시 노원구 덕릉로 639,02-933-8289,37.654699,127.0717395
상계재활용센터,서울특별시 노원구 수락산로 212-23,02-948-8138,37.6715699839,127.0548404019
서초구재활용센터,서울특별시 서초구 양재대로12길 73-19,02-571-7272,37.45933133,127.0401205
강동구가전가구재활용센터,서울특별시 강동구 동남로 930,02-427-8425,37.55699643,127.1569746
강북구재활용센터,서울특별시 강북구 노해로 70,02-992-8425,37.64183139,127.022653
중구재활용센터,서울특별시 중구 다산로 174,02-2233-7289,37.55897769,127.0134049
영등포구 재활용센터,서울특별시 영등포구 대방천로 207,02-836-7289,37.498725,126.913851
강남구재활용센터,서울특별시 강남구 개포로 247,-,37.479138,127.0494793
리싸이클세상,서울특별시 강남구 논현로 115길 7,-,37.50883463,127.0325018
강서재활용센터,서울특별시 강서구 화곡로35길 1,02-2602-0505,37.545155,126.844155
강서구재활용센터,서울특별시 강서구 방화대로 336,02-2666-7262,37.57083785,126.816916
강서구중고재활용센터,서울특별시 강서구 까치산로 102,02-3662-8545,37.5472447,126.848927
구로구 재활용센터,서울특별시 구로구 새말로48,02-858-8272,37.503211,126.886038
광진구 재활용센터,서울특별시 광진구 능동로 352-1(중곡동),02-457-0303,37.56081954,127.0817523
관악구 재활용센터(봉천점),서울특별시 관악구 봉천동 남부순환로 1663,02-883-0858,37.4851166,126.9355291
관악구 재활용센터(신림점),서울특별시 관악구 신림동 남부순환로 1494,02-842-8425,37.48190245,126.9165962
관악구 재활용센터(신림2점),서울특별시 관악구 신림로 202,02-877-1140,37.47542075,126.9372603
용산구 재활용센터,서울특별시 용산구 한강대로67길 22-20(한강로1가),02-794-8665,37.53764656,126.971403
용산구 재활용센터,서울특별시 용산구 한강대로67길 22-20(한강로1가),02-794-8666,37.53764656,126.971403
금천구재활용센터,서울특별시 금천구 시흥대로 182,02-802-7282,37.45017338,126.9027728
금천구 지정 독산동 재활용센터,서울특별시 금천구 독산로 303,02-863-7282,37.4737391,126.9030804
서대문구재활용센터,서울특별시 서대문구 연희로 292,02-394-8272,37.58323052,126.9363911
은평구 재활용센터,서울특별시 은평구 수색동 수색로24길 16 수색동재활용집하시설,02-372-8272,37.59131729,126.8845899
송파구재활용센터,서울특별시 송파구 문정로246 (마천동),02-409-9859,37.4999099,127.1420313
