name,address,number,lat,long
도로변-횡단보도(정류소),서울특별시 강남구 갤러리아,-,37.5279412,127.0417992
도로변(횡단보도 포함),서울특별시 강남구 한양아파트 35동,-,37.5288,127.037
정류소-도로(가로)변,서울특별시 강남구 한양아파트 61동,-,37.5302,127.0337
도로변(횡단보도 포함),서울특별시 강남구 현대아파트 91동,-,37.5301,127.0341
정류소-도로(가로)변,서울특별시 강남구 현대아파트 84동,-,37.5283,127.0305
지하철역1번출구,서울특별시 강남구 압구정역,-,37.5276,127.0289
도로변(횡단보도 포함),서울특별시 강남구 신현대아파트 103동,-,37.5263,127.0258
도로변(횡단보도 포함),서울특별시 강남구 신사중학교,-,37.5245,127.0212
도로변(횡단보도 포함),서울특별시 강남구 압구정동 408,-,37.5234,127.0195
지하철역5번출구,서울특별시 강남구 압구정역,-,37.5269,127.0281
도로변(횡단보도 포함),서울특별시 강남구 라움,-,37.508,127.0396
도로변(횡단보도 포함),서울특별시 강남구 우리은행 압구정로데오지점,-,37.5283,127.0373
정류소-도로(가로)변,서울특별시 강남구 동서상가,-,37.5278,127.0388
지하철역6번출구,서울특별시 강남구 압구정로데오역,-,37.5273,127.0405
도로변(횡단보도 포함),서울특별시 강남구 청담동 78-16,-,37.5272,127.0412
정류소-도로(가로)변,서울특별시 강남구 압구정로 440 삼아제약,-,37.5263914,127.0450787
도로변(횡단보도 포함),서울특별시 강남구 버버리 코리아,-,37.5246,127.0427
도로변(횡단보도 포함),서울특별시 강남구 125-22 1층,-,37.5247,127.0503
도로변(횡단보도 포함),서울특별시 강남구 탐앤탐스 청담점,-,37.525,127.0502
도로변(횡단보도 포함),서울특별시 강남구 대치4동 937,-,37.4967,127.0534
도로변(횡단보도 포함),서울특별시 강남구 국민은행 학동사거리점,-,37.5235134,127.0388537
정류소-도로(가로)변,서울특별시 강남구 쉐이크쉑 청담점,-,37.523064,127.0375987
정류소-도로(가로)변,서울특별시 강남구 압구정동 도산대로 217,-,37.5206,127.0305
도로변(횡단보도 포함),신사동 561-31번지 1층 신웅타워 2호 강남구 서울특별시 KR,-,37.5189,127.0257
정류소-도로(가로)변,서울특별시 강남구 KT 신사점,-,37.5174,127.0224
지하철역1-2-7-8번출구,서울특별시 강남구 신사역,-,37.5163,127.0201
정류소-도로(가로)변,서울특별시 강남구 역삼동 729-38,-,37.4984,127.0427
도로변(횡단보도 포함),서울특별시 강남구 논현동 5-1 페이토빌딩 ,-,37.5173,127.0233
도로변(횡단보도 포함),서울특별시 강남구 을지병원,-,37.5186,127.0287
도로변(횡단보도 포함),서울특별시 강남구 에이스침대,-,37.5172363,127.0473248
도로변(횡단보도 포함),서울특별시 강남구 도산대로 306,-,37.5216,127.0346
정류소-도로(가로)변,서울특별시 강남구 신한은행 도산대로지점,-,37.5221,127.0365
도로변(횡단보도 포함),서울특별시 강남구 삼성역,-,37.508861,127.063149
도로변(횡단보도 포함),서울특별시 강남구 포르쉐스튜디오,-,37.523116,127.0419539
정류소-도로(가로)변,서울특별시 강남구 도산대로 442 피엔폴루스,-,37.5232913,127.0440476
도로변(횡단보도 포함),서울특별시 강남구 보테가라운지,-,37.524517,127.04142
정류소-도로(가로)변,서울특별시 강남구 스타벅스 청담점,-,37.5243631,127.0515599
도로변(횡단보도 포함),서울특별시 강남구 프리마호텔,-,37.5242756,127.052191
정류소-도로(가로)변,서울특별시 강남구 세븐일레븐 청담루나점,-,37.5201056,127.0560505
지하철역10-11번출구,서울특별시 강남구 청담역,-,37.5191,127.0519
정류소-도로(가로)변,서울특별시 강남구 강남세무서,-,37.5187481,127.0469012
지하철역3-4번출구,서울특별시 강남구 강남구청역,-,37.517473,127.0411685
도로변(횡단보도 포함),서울특별시 강남구 바나프레소 세관사거리점,-,37.5158,127.0357
정류소-도로(가로)변,서울특별시 강남구 서울제이에스병원,-,37.5172363,127.0473248
도로변(횡단보도 포함),서울특별시 강남구 학동로 227,-,37.515,127.0338
지하철역6-9번출구,서울특별시 강남구 학동역,-,37.514236,127.031593
삼익뮤직프라자:정류소-도로(가로)변,서울특별시 강남구 논현동 58-3,-,37.5143,127.0294
도로변(횡단보도 포함),서울특별시 강남구 나뚜찌,-,37.5082,127.0599
정류소-도로(가로)변,서울특별시 강남구 포레힐호텔,-,37.51204,127.023636
지하철역8번출구,서울특별시 강남구 논현역,-,37.511206,127.021728
정류소-도로(가로)변,서울특별시 강남구 영동가구(학동로106),-,37.4951,126.9982
지하철역1-2-5번출구,서울특별시 강남구 학동역,-,37.4951,126.9982
정류소-도로(가로)변,서울 강남구 학동로 308 시너지정형외과빌딩,-,37.5154,127.0363
정류소-도로(가로)변,서울특별시 강남구 정관장 강남구청역점,-,37.5164,127.0404
도로변(횡단보도 포함),서울특별시 강남구 허브프라자,-,37.486,127.0221
정류소-도로(가로)변,서울특별시 강남구 서광아파트 101동,-,37.5174,127.0427
도로변(횡단보도 포함),서울특별시 강남구 삼성월드 아파트 ,-,37.5174,127.0439
도로변(횡단보도 포함),서울특별시 강남구 강남구청,-,37.517473,127.0411685
지하철역4번출구,서울특별시 강남구 청담역,-,37.5191,127.0519
정류소-도로(가로)변,서울특별시 강남구 청담불한증막,-,37.5196,127.0563
정류소-도로(가로)변,서울특별시 강남구 삼성동 봉은사로 633,-,37.5152,127.0645
도로변(횡단보도 포함),서울특별시 강남구 미켈란107,-,37.5145,127.0606
지하철역1번출구,서울특별시 강남구 봉은사역,-,37.5142,127.0601
정류소-도로(가로)변,서울특별시 강남구 GS25 봉은사점,-,37.5141,127.0587
도로변(횡단보도 포함),서울특별시 강남구 봉은사,-,37.5148,127.0574
도로변(횡단보도 포함),서울특별시 강남구 더라빌입구,-,37.5158,127.0428
도로변(횡단보도 포함),서울특별시 강남구 삼성동 봉은사로 503,-,37.5135,127.0538
도로변(횡단보도 포함),서울특별시 강남구 국민은행 삼성중앙역지점,-,37.5132,127.0526
정류소-도로(가로)변,서울특별시 강남구 봉은사로 471,-,37.5126,127.0512
정류소-도로(가로)변,서울특별시 강남구 한국통신사업자,-,37.5116,127.0473
정류소-도로(가로)변,서울특별시 강남구 삼성2동주민센터,-,37.511,127.046
정류소-도로(가로)변,서울특별시 강남구 논현동 277-33,-,37.5101,127.0422
정류소-도로(가로)변,서울특별시 강남구 쿨마트 논현점,-,37.5092,127.0397
도로변(횡단보도 포함),서울특별시 강남구 아크로힐스 103동,-,37.509,127.0388
정류소-도로(가로)변,서울특별시 강남구 타이어T-스테이션 강남논현점,-,37.5085,127.0374
정류소-도로(가로)변,서울특별시 강남구 올리브영 언주역점,-,37.5078,127.0351
도로변(횡단보도 포함),서울특별시 강남구 거평타운,-,37.5057,127.0284
정류소-도로(가로)변,서울특별시 강남구 신논현역,-,37.5045,127.0248
정류소-도로(가로)변,서울특별시 강남구 삼정호텔(차병원 건강검진센터),-,37.5065,127.0315
도로변(횡단보도 포함),서울특별시 강남구 여송빌딩,-,37.511,127.0574
정류소-도로(가로)변,서울특별시 강남구 송산빌딩,-,37.4698,127.0423
도로변(횡단보도 포함),서울특별시 강남구 홍익궁중육개장,-,37.5077,127.0362
